"year","fl_reg","month","RS_catch","RS_harvest","RS_Discard","RS_weight"
"2020","2","8",0,0,0,0
"2020","2","9",35703.5529942,0,35703.5529942,0
"2021","1","1",159284.909958018,0,159284.909958018,0
"2021","1","10",309363.201090841,15414.8014746925,293948.399616043,40154.7302870516
"2021","1","11",187955.684260971,1089.6004263,186866.083834671,1765.152690606
"2021","1","12",66889.072549636,0,66889.072549636,0
"2021","1","2",130038.391473139,0,130038.391473139,0
"2021","1","3",23265.972929356,0,23265.972929356,0
"2021","1","4",56633.211172821,0,56633.211172821,0
"2021","1","5",175160.718065359,1186.76430736,173973.953757999,1768.2788179664
"2021","1","6",908950.138192325,434359.179096253,474590.959097754,1363380.18180006
"2021","1","7",1172498.77202348,381806.338507971,790692.43351884,667835.030331321
"2021","1","8",274373.863967015,2176.564827621,272197.299139394,2637.39695542858
"2021","1","9",57494.325681228,0,57494.325681228,0
"2021","2","1",837.61869096,0,837.61869096,0
"2021","2","10",1606.7594403,0,1606.7594403,0
"2021","2","11",0,0,0,0
"2021","2","12",0,0,0,0
"2021","2","2",55.754314823,0,55.754314823,0
"2021","2","3",440.90295656,0,440.90295656,0
"2021","2","4",23981.9649901,0,23981.9649901,0
"2021","2","5",4326.42869313,0,4326.42869313,0
"2021","2","6",209641.898938971,72404.4538230728,137237.44511609,178205.971248767
"2021","2","7",163402.24837658,52924.0263743489,110478.222002219,221364.831080325
"2021","2","8",0,0,0,0
"2021","2","9",305.483600136,0,305.483600136,0
"2022","1","1",49978.462548,0,49978.462548,0
"2022","1","10",51733.720564685,2008.29801626047,49725.422548445,4478.2650706033
"2022","1","11",1421.815204,0,1421.815204,0
"2022","1","12",126564.349069,0,126564.349069,0
"2022","1","2",234446.826499571,0,234446.826499571,0
"2022","1","3",392527.87459597,0,392527.87459597,0
"2022","1","4",83658.20055445,0,83658.20055445,0
"2022","1","5",1079904.90179106,12819.30325674,1067085.59853432,31708.6049017737
"2022","1","6",994447.192400113,365538.470132496,628908.722265583,930204.856641578
"2022","1","7",1390115.66981577,538009.177617238,852106.492196167,1666496.20019862
"2022","1","8",391523.491883213,21106.660215537,370416.831668657,25275.6246430741
"2022","1","9",3935.223013308,0,3935.223013308,0
"2022","2","1",16192.16382618,0,16192.16382618,0
"2022","2","10",14381.0931634544,14381.0931634544,0,26844.7072391117
"2022","2","11",1422.74360731671,1422.74360731671,0,5406.42570774687
"2022","2","12",2016.3449516,0,2016.3449516,0
"2022","2","2",1187.33307992,0,1187.33307992,0
"2022","2","3",0,0,0,0
"2022","2","4",0,0,0,0
"2022","2","5",14209.8936582,0,14209.8936582,0
"2022","2","6",48821.0933508588,39225.3638317719,9595.72951905,181962.971034683
"2022","2","7",278287.757561738,71707.8885283543,206579.869033308,240850.084512337
"2022","2","8",94531.7161511962,2915.94345074795,91615.772700566,11233.0670112524
"2022","2","9",0,0,0,0
"2023","1","1",68511.4617395,0,68511.4617395,0
"2023","1","10",59937.2246055779,17120.4562602045,42816.768345612,52336.3765625694
"2023","1","11",190900.04597659,92757.5255407988,98142.520435948,265154.412581535
"2023","1","12",28724.3291244,0,28724.3291244,0
"2023","1","2",24210.27475835,0,24210.27475835,0
"2023","1","3",58898.54268415,241.62587629,58656.91680786,560.5720329928
"2023","1","4",98072.046740748,0,98072.046740748,0
"2023","1","5",244641.608703241,3503.14004581411,241138.468657427,4813.16434013825
"2023","1","6",414556.392677982,236047.409583685,178508.983094632,565439.193545853
"2023","1","7",748124.174943046,465260.755838172,282863.419105747,1243837.71665624
"2023","1","8",107917.689874725,48943.9283889534,58973.76148622,88605.9921838839
"2023","1","9",297370.021833809,75251.4069074013,222118.614926379,292981.781007395
"2023","2","1",0,0,0,0
"2023","2","10",116657.85119568,0,116657.85119568,0
"2023","2","11",4885.2040409,0,4885.2040409,0
"2023","2","12",0,0,0,0
"2023","2","2",8427.7530805,0,8427.7530805,0
"2023","2","3",328.752325645,0,328.752325645,0
"2023","2","4",2839.91824485,0,2839.91824485,0
"2023","2","5",1986.431487356,0,1986.431487356,0
"2023","2","6",137214.6029503,39394.8111563304,97819.791794009,129489.627721743
"2023","2","7",320084.647790083,140414.733879699,179669.913909217,602362.610244832
"2023","2","8",58538.9701304682,22304.3555109462,36234.614619522,62524.5443873744
"2023","2","9",10743.89754805,0,10743.89754805,0
