"year","fl_reg","month","RG_catch","RG_harvest","RG_Discard","RG_weight"
"2017","1","12",0,0,0,0
"2017","1","2",0,0,0,0
"2017","1","3",15695.4038026,0,15695.4038026,0
"2017","1","4",4350.7994409,0,4350.7994409,0
"2017","1","5",50045.2573575,0,50045.2573575,0
"2017","1","6",68254.6670615262,16618.0212627162,51636.64579881,56228.6964992941
"2017","1","7",35160.7593893585,11293.0838231785,23867.67556618,32122.0261721569
"2017","1","8",14795.23060376,0,14795.23060376,0
"2017","1","9",7277.50728045659,7231.11949481259,46.387785644,23492.0779919006
"2017","2","1",69884.5980112439,5324.85761686188,64559.740394382,16842.7903531806
"2017","2","10",16985.3768610721,26.1651428120903,16959.21171826,75.3556112997343
"2017","2","11",326124.29102645,20343.5928881629,305780.698138218,73140.1022028572
"2017","2","12",587001.634889393,74145.4894197358,512856.145468907,245380.187907742
"2017","2","2",97293.42041092,3797.54914980827,93495.871261083,10508.7718155381
"2017","2","3",164837.549211143,1618.92779682735,163218.62141439,3886.26348401043
"2017","2","4",43337.7842264289,2643.13725492116,40694.6469715137,6891.50249882374
"2017","2","5",135196.251988872,14107.9929898348,121088.258999044,56291.4784554925
"2017","2","6",337296.693789133,26777.3209010431,310519.372887893,87173.9082271746
"2017","2","7",472703.392293529,28312.3729467894,444391.01934712,83289.9377778488
"2017","2","8",183172.423356593,26137.9574886192,157034.465868237,81720.0985864346
"2017","2","9",56150.5560955487,4415.22898340865,51735.32711214,9230.57194902472
"2018","1","1",0,0,0,0
"2018","1","10",0,0,0,0
"2018","1","11",0,0,0,0
"2018","1","12",0,0,0,0
"2018","1","2",0,0,0,0
"2018","1","3",0,0,0,0
"2018","1","4",0,0,0,0
"2018","1","5",6306.88225418456,1106.30095780456,5200.58129638,7380.12550321953
"2018","1","6",575206.025189114,32913.1059500504,542292.91923982,142305.191757007
"2018","1","7",368216.101446791,11443.8165325611,356772.28491423,40099.8385674561
"2018","1","8",5923.83037787211,1147.15185419211,4776.67852368,2145.17396734641
"2018","1","9",56786.9311054838,11277.9347791298,45508.996326354,29638.1422002289
